FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
13247,14.600000,55.408747,0.558536,14.414862
13249,6.400000,19.805195,0.114591,17.131398
13251,12.500000,40.902569,0.466351,18.811881
13253,9.600000,32.339146,0.312688,23.066747
13255,15.500000,34.110439,0.491679,17.856278
13257,11.400000,10.681775,0.507010,19.404648
13259,13.900000,40.393612,1.080819,15.550895
13261,15.000000,52.403054,0.548212,16.745703
13263,22.400000,54.288903,0.669643,24.378189
13265,16.000000,53.482587,0.186567,26.305970
13267,22.800000,28.781852,0.677405,14.292466
13269,9.100000,38.213708,0.298545,20.226396
13271,16.100000,34.322247,0.359033,18.096498
13273,14.000000,60.039484,0.569040,19.835095
13275,14.400000,35.828384,0.605202,18.293287
13277,12.100000,29.792216,0.468315,14.880087
13279,16.000000,25.871239,0.836836,16.361067
13281,6.400000,1.181235,0.396558,34.534256
13283,9.300000,31.443677,0.323102,18.431488
13285,11.000000,36.319502,0.398378,14.841363
13287,18.200000,39.926694,0.518200,19.868554
13289,16.500000,39.838788,0.378603,22.740596
13291,15.500000,0.766635,0.495813,33.011125
13293,11.900000,28.003052,0.480641,18.474156
13295,18.900000,4.412909,0.380349,18.550641
13297,10.500000,18.041132,0.407474,15.494690
13299,12.600000,29.646861,0.487668,17.284193
13301,24.100000,58.636450,0.342792,22.681394
13303,19.100000,53.271853,0.181497,17.364858
13305,11.600000,19.524960,0.654187,15.841385
13307,11.400000,41.478361,0.497894,23.630793
13309,10.300000,36.844777,0.101536,14.621145
13311,14.700000,1.931932,0.570571,22.989656
13313,12.400000,3.545002,1.439526,14.049317
13315,22.900000,34.157966,0.317749,18.054925
13317,20.600000,40.785743,0.243013,23.106521
13319,13.900000,38.247012,0.520142,19.378043
13321,31.000000,27.883147,0.359624,19.074831
15000,10.300000,1.966503,0.396271,18.371605
15001,10.300000,0.671201,0.564227,20.913212
15003,10.400000,2.553669,0.327524,17.732532
15005,10.200000,0.000000,0.000000,42.045455
15007,9.700000,0.590576,0.483828,20.155823
15009,9.900000,0.676407,0.559785,18.280335
16000,8.900000,0.743925,1.735769,15.863683
16001,7.900000,1.240302,0.800483,14.424873
16003,7.900000,0.235294,1.505882,28.729412
16005,9.400000,0.961693,3.715945,14.230301
16007,7.700000,0.330579,0.925620,20.628099
16009,8.700000,0.411879,8.486885,22.469109
16011,12.100000,0.339562,7.386020,14.263777
16013,4.300000,0.433609,1.743286,19.623026
16015,13.000000,0.406078,1.244433,25.137543
16017,9.200000,0.268294,0.932323,24.533280
16019,9.100000,0.581067,1.299057,13.301213
16021,9.100000,0.544024,1.950117,22.522598
16023,9.200000,0.459594,1.302183,23.439295
16025,5.300000,0.443656,1.419698,22.448980
16027,9.800000,0.570472,1.745422,13.763820
16029,13.300000,0.127479,0.679887,17.478754
16031,11.500000,0.456755,1.575595,14.209688
16033,3.400000,0.704225,3.286385,17.723005
