FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
4009,8634.641165,18.914280,17.534493,34.800000,58.719910,38.000000,5.135099,6.000000,17.178195
4011,7214.854883,17.865416,14.269950,29.300000,52.882070,29.000000,4.252336,5.700000,12.139605
4012,15452.452583,22.005997,15.521010,30.200000,29.124800,27.000000,6.231819,5.700000,14.488017
4013,6474.453729,15.622654,13.686398,26.900000,70.350050,47.000000,4.140207,10.600000,18.183090
4015,10257.173536,18.912273,19.352843,31.800000,49.227800,38.000000,5.774678,5.100000,16.896951
4017,13754.907935,24.284685,20.611978,34.000000,62.410510,39.000000,7.761466,5.700000,25.051335
4019,7369.900232,17.160991,14.916461,25.000000,84.378780,47.000000,4.488947,7.900000,19.502264
4021,6770.101886,20.091217,16.274473,32.600000,16.037670,42.000000,5.023118,11.700000,15.382263
4023,5084.196606,26.579218,14.571449,26.900000,49.770620,34.000000,9.329884,7.600000,22.554698
4025,7756.039642,15.400511,17.065330,23.000000,62.234840,42.000000,4.467988,5.100000,17.138424
4027,6104.069594,22.726376,13.327036,36.900000,47.221180,39.000000,17.041870,8.000000,18.434967
5001,11452.201205,23.123406,20.083230,30.600000,55.657590,41.000000,3.395810,10.000000,9.694209
5003,9976.043303,24.022563,20.452067,42.600000,39.441900,44.000000,5.466615,9.600000,12.290168
5005,8749.738716,18.946244,16.242816,33.700000,74.960710,47.000000,4.118326,9.700000,10.132890
5007,6154.441822,16.233360,16.513157,29.300000,60.458130,51.000000,2.880867,10.400000,11.106061
5009,8901.302771,21.217831,19.902994,34.400000,74.904360,46.000000,3.538093,9.400000,11.891166
5011,11116.727916,28.442057,21.767630,46.400000,55.228280,50.000000,4.493352,9.800000,17.802198
5013,12077.895228,23.975529,20.624856,29.400000,38.117020,35.000000,3.910150,9.700000,12.019231
5015,10665.069876,22.022769,18.372734,27.700000,57.257370,42.000000,3.212279,9.400000,15.724138
5017,13048.032258,30.052424,23.103410,38.800000,103.422340,26.000000,6.886228,10.000000,17.331813
5019,9843.249169,23.742513,19.339474,26.900000,44.857130,49.000000,3.820459,10.100000,14.968697
5021,11223.092248,22.553831,20.333191,42.600000,13.404830,31.000000,4.387318,10.800000,13.013168
5023,10497.199191,20.068445,17.409398,36.600000,55.892690,44.000000,4.534554,10.100000,10.714286
5025,11272.989757,22.030596,19.038560,35.500000,12.192150,44.000000,3.906723,9.800000,7.934132
5027,8842.107848,26.520424,20.476425,36.400000,59.254240,46.000000,4.771438,9.800000,9.926471
5029,10156.777349,22.154074,19.000934,36.800000,66.934400,27.000000,4.366919,10.200000,13.755981
5031,8225.801539,22.717331,20.762921,38.200000,115.763430,49.000000,3.063562,10.800000,14.754098
5033,9076.688298,20.108698,19.004177,35.200000,39.685060,44.000000,3.581401,10.300000,13.821656
5035,12729.526852,25.870443,23.311338,41.300000,34.871790,39.000000,4.308939,10.100000,18.167072
5037,12126.283771,23.667439,20.488009,38.900000,41.511000,40.000000,4.166107,10.200000,12.900820
